UTC,Open,High,Low,Close,Volume
01.07.2024 00:00:00.000 UTC,160.922,161.186,160.737,160.991,14810.86
01.07.2024 01:00:00.000 UTC,160.992,161.035,160.838,160.921,19444.25
01.07.2024 02:00:00.000 UTC,160.924,160.938,160.838,160.896,9572.02
01.07.2024 03:00:00.000 UTC,160.896,161.072,160.896,161.05,9378.06
01.07.2024 04:00:00.000 UTC,161.049,161.083,160.974,161.072,7519.34
01.07.2024 05:00:00.000 UTC,161.076,161.121,160.994,161.037,5937.9
01.07.2024 06:00:00.000 UTC,161.035,161.051,160.903,160.903,14657.6
01.07.2024 07:00:00.000 UTC,160.902,161.073,160.867,161.012,21289.92
01.07.2024 08:00:00.000 UTC,161.013,161.091,160.95,161.009,10608.97
01.07.2024 09:00:00.000 UTC,161.009,161.073,160.969,161.066,5681.74
01.07.2024 10:00:00.000 UTC,161.065,161.148,161.032,161.123,6955.53
01.07.2024 11:00:00.000 UTC,161.125,161.134,161.074,161.099,3655.41
01.07.2024 12:00:00.000 UTC,161.1,161.389,161.099,161.352,14418.47
01.07.2024 13:00:00.000 UTC,161.353,161.456,161.275,161.344,22463.08
01.07.2024 14:00:00.000 UTC,161.344,161.667,160.959,161.655,33351.28
01.07.2024 15:00:00.000 UTC,161.654,161.728,161.533,161.557,17900.76
01.07.2024 16:00:00.000 UTC,161.556,161.598,161.475,161.521,7630.05
01.07.2024 17:00:00.000 UTC,161.519,161.519,161.404,161.498,5901.05
01.07.2024 18:00:00.000 UTC,161.496,161.565,161.468,161.518,6351.15
01.07.2024 19:00:00.000 UTC,161.519,161.521,161.458,161.473,10825.92
01.07.2024 20:00:00.000 UTC,161.475,161.486,161.404,161.421,3035.34
01.07.2024 21:00:00.000 UTC,161.421,161.539,161.363,161.445,1275.15
01.07.2024 22:00:00.000 UTC,161.443,161.49,161.404,161.433,2976.54
01.07.2024 23:00:00.000 UTC,161.433,161.517,161.417,161.513,3103.8
02.07.2024 00:00:00.000 UTC,161.513,161.641,161.502,161.524,8130.86
02.07.2024 01:00:00.000 UTC,161.521,161.663,161.458,161.635,10076.23
02.07.2024 02:00:00.000 UTC,161.637,161.638,161.534,161.617,9242.69
02.07.2024 03:00:00.000 UTC,161.618,161.678,161.616,161.659,5287.97
02.07.2024 04:00:00.000 UTC,161.66,161.742,161.594,161.677,8178.25
02.07.2024 05:00:00.000 UTC,161.676,161.726,161.625,161.708,3515.68
02.07.2024 06:00:00.000 UTC,161.704,161.722,161.587,161.674,11255.18
02.07.2024 07:00:00.000 UTC,161.673,161.718,161.597,161.658,12682.22
02.07.2024 08:00:00.000 UTC,161.657,161.695,161.556,161.589,12850.6
02.07.2024 09:00:00.000 UTC,161.589,161.667,161.561,161.666,4248.39
02.07.2024 10:00:00.000 UTC,161.667,161.688,161.602,161.611,4577.44
02.07.2024 11:00:00.000 UTC,161.61,161.672,161.589,161.623,3488
02.07.2024 12:00:00.000 UTC,161.623,161.623,161.48,161.511,12145.66
02.07.2024 13:00:00.000 UTC,161.512,161.552,161.266,161.377,23244.36
02.07.2024 14:00:00.000 UTC,161.375,161.621,161.3,161.439,29113.03
02.07.2024 15:00:00.000 UTC,161.438,161.559,161.408,161.534,7425.74
02.07.2024 16:00:00.000 UTC,161.535,161.603,161.532,161.574,4900.15
02.07.2024 17:00:00.000 UTC,161.576,161.586,161.512,161.523,4515.21
02.07.2024 18:00:00.000 UTC,161.524,161.531,161.454,161.49,6748.29
02.07.2024 19:00:00.000 UTC,161.489,161.496,161.422,161.457,4528.05
02.07.2024 20:00:00.000 UTC,161.455,161.478,161.407,161.41,2231.84
02.07.2024 21:00:00.000 UTC,161.411,161.46,161.388,161.426,1637.16
02.07.2024 22:00:00.000 UTC,161.422,161.45,161.381,161.42,2036.46
02.07.2024 23:00:00.000 UTC,161.422,161.523,161.416,161.488,3247.04
03.07.2024 00:00:00.000 UTC,161.489,161.579,161.442,161.563,10713.89
03.07.2024 01:00:00.000 UTC,161.563,161.642,161.519,161.629,6527.74
03.07.2024 02:00:00.000 UTC,161.629,161.647,161.564,161.644,5945.55
03.07.2024 03:00:00.000 UTC,161.644,161.655,161.619,161.629,4358.61
03.07.2024 04:00:00.000 UTC,161.628,161.74,161.609,161.714,7544.79
03.07.2024 05:00:00.000 UTC,161.714,161.893,161.698,161.868,8119.34
03.07.2024 06:00:00.000 UTC,161.867,161.938,161.671,161.809,13252.72
03.07.2024 07:00:00.000 UTC,161.811,161.9,161.723,161.766,14170.82
03.07.2024 08:00:00.000 UTC,161.766,161.855,161.759,161.845,14019.87
03.07.2024 09:00:00.000 UTC,161.845,161.895,161.799,161.866,9267.51
03.07.2024 10:00:00.000 UTC,161.866,161.949,161.845,161.936,8102.49
03.07.2024 11:00:00.000 UTC,161.938,161.949,161.893,161.919,8877.39
03.07.2024 12:00:00.000 UTC,161.921,161.931,161.793,161.821,11195.01
03.07.2024 13:00:00.000 UTC,161.82,161.83,161.595,161.694,19717.83
03.07.2024 14:00:00.000 UTC,161.681,161.681,160.768,161.331,40057.88
03.07.2024 15:00:00.000 UTC,161.332,161.543,161.265,161.481,20621
03.07.2024 16:00:00.000 UTC,161.481,161.573,161.401,161.534,14250.13
03.07.2024 17:00:00.000 UTC,161.537,161.558,161.484,161.484,4952.7
03.07.2024 18:00:00.000 UTC,161.488,161.703,161.466,161.664,7777.9
03.07.2024 19:00:00.000 UTC,161.661,161.738,161.635,161.702,3386.43
03.07.2024 20:00:00.000 UTC,161.704,161.75,161.64,161.683,2477.4
03.07.2024 21:00:00.000 UTC,161.647,161.656,161.523,161.543,1920.3
03.07.2024 22:00:00.000 UTC,161.541,161.633,161.521,161.599,1620.81
