<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAUUSD,20241231,2100,2624.01,2624.26,2624.00,2624.26,2400
XAUUSD,20250101,2300,2625.10,2626.01,2621.47,2623.55,768540
XAUUSD,20250102,0000,2623.66,2627.76,2622.45,2625.18,1253580
XAUUSD,20250102,0100,2625.18,2634.15,2623.64,2632.74,3602790
XAUUSD,20250102,0200,2632.74,2636.30,2632.15,2634.50,2384640
XAUUSD,20250102,0300,2634.40,2635.20,2632.07,2633.45,1594800
XAUUSD,20250102,0400,2633.47,2634.05,2630.86,2633.75,1120560
XAUUSD,20250102,0500,2633.75,2636.28,2632.86,2633.87,1317120
XAUUSD,20250102,0600,2633.75,2635.24,2631.00,2633.97,2709990
XAUUSD,20250102,0700,2633.95,2635.90,2632.80,2635.85,1946140
XAUUSD,20250102,0800,2635.70,2637.56,2630.99,2636.35,2736220
XAUUSD,20250102,0900,2636.36,2639.78,2635.86,2635.91,2789860
XAUUSD,20250102,1000,2635.91,2646.10,2632.53,2642.49,4207980
XAUUSD,20250102,1100,2642.52,2644.47,2640.06,2641.66,2272030
XAUUSD,20250102,1200,2641.70,2646.26,2640.15,2643.16,2538467
XAUUSD,20250102,1300,2643.16,2647.14,2635.86,2642.76,6138970
XAUUSD,20250102,1400,2642.75,2650.97,2640.14,2647.49,5252610
XAUUSD,20250102,1500,2647.30,2655.72,2644.99,2653.95,5426500
XAUUSD,20250102,1600,2653.90,2660.35,2649.79,2659.15,4019560
XAUUSD,20250102,1700,2659.14,2660.37,2652.35,2656.39,3320780
XAUUSD,20250102,1800,2656.38,2658.66,2653.72,2655.24,2648780
XAUUSD,20250102,1900,2655.24,2657.05,2653.65,2654.64,4181600
XAUUSD,20250102,2000,2654.56,2660.38,2653.99,2659.60,3193690
XAUUSD,20250102,2100,2659.45,2660.15,2656.41,2657.20,399600
XAUUSD,20250102,2300,2657.25,2659.40,2656.75,2658.30,496170
XAUUSD,20250103,0000,2658.28,2660.99,2658.26,2660.66,1317600
XAUUSD,20250103,0100,2660.66,2662.32,2656.60,2659.32,2689560
XAUUSD,20250103,0200,2659.32,2663.88,2656.03,2662.34,3671530
XAUUSD,20250103,0300,2662.34,2665.18,2661.11,2662.16,2481040
XAUUSD,20250103,0400,2662.13,2664.20,2661.59,2662.74,1330110
XAUUSD,20250103,0500,2662.74,2662.78,2655.82,2658.41,1991740
XAUUSD,20250103,0600,2658.40,2660.16,2656.49,2659.41,2675680
XAUUSD,20250103,0700,2659.41,2659.41,2651.71,2654.05,2819020
XAUUSD,20250103,0800,2654.05,2655.57,2649.80,2652.80,4041740
XAUUSD,20250103,0900,2652.80,2655.80,2652.70,2653.53,3112930
XAUUSD,20250103,1000,2653.39,2657.95,2652.93,2657.59,2949250
XAUUSD,20250103,1100,2657.55,2659.16,2656.11,2657.43,2264270
XAUUSD,20250103,1200,2657.41,2658.22,2654.64,2655.09,2581230
XAUUSD,20250103,1300,2655.09,2656.18,2643.36,2649.68,6143450
XAUUSD,20250103,1400,2649.68,2652.51,2644.99,2647.14,7499400
XAUUSD,20250103,1500,2646.18,2648.07,2640.84,2643.76,5562900
XAUUSD,20250103,1600,2643.64,2647.09,2639.00,2639.80,4761270
XAUUSD,20250103,1700,2639.80,2642.53,2639.00,2641.65,1891150
XAUUSD,20250103,1800,2641.67,2642.18,2639.60,2641.78,1382880
XAUUSD,20250103,1900,2641.76,2642.84,2639.00,2639.25,1542750
XAUUSD,20250103,2000,2639.25,2640.00,2636.72,2638.11,1215049
XAUUSD,20250103,2100,2638.11,2640.55,2636.63,2639.90,484190
XAUUSD,20250105,2300,2639.30,2642.24,2638.82,2640.85,1075420
XAUUSD,20250106,0000,2640.84,2643.16,2638.43,2643.07,1158360
XAUUSD,20250106,0100,2643.03,2647.28,2640.61,2641.18,2514840
XAUUSD,20250106,0200,2641.20,2645.18,2639.59,2644.36,2560580
XAUUSD,20250106,0300,2644.36,2645.18,2639.01,2640.07,1793840
