<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAUUSD,20251231,2100,4318.06,4318.72,4317.70,4318.68,28690
XAUUSD,20260101,2300,4323.70,4351.01,4323.20,4347.81,863050
XAUUSD,20260102,0000,4347.80,4355.55,4341.07,4353.72,1395360
XAUUSD,20260102,0100,4353.69,4355.57,4344.30,4347.69,1987030
XAUUSD,20260102,0200,4347.64,4362.91,4344.73,4362.59,1653350
XAUUSD,20260102,0300,4362.56,4375.40,4361.78,4374.75,2161360
XAUUSD,20260102,0400,4374.76,4378.14,4371.04,4372.90,1660270
XAUUSD,20260102,0500,4373.22,4381.49,4370.60,4380.34,1382140
XAUUSD,20260102,0600,4380.35,4380.55,4372.97,4374.31,1228500
XAUUSD,20260102,0700,4374.35,4383.16,4371.64,4382.52,1404980
XAUUSD,20260102,0800,4382.55,4397.31,4380.56,4386.60,1676290
XAUUSD,20260102,0900,4386.60,4391.25,4382.86,4385.06,1832260
XAUUSD,20260102,1000,4385.09,4398.23,4384.20,4395.82,1623800
XAUUSD,20260102,1100,4395.91,4399.00,4390.24,4392.53,1315330
XAUUSD,20260102,1200,4392.56,4397.88,4384.70,4393.98,1674260
XAUUSD,20260102,1300,4393.98,4401.93,4361.69,4365.78,4294600
XAUUSD,20260102,1400,4365.90,4373.49,4347.64,4353.27,2783080
XAUUSD,20260102,1500,4352.95,4356.90,4330.06,4335.10,3267710
XAUUSD,20260102,1600,4335.06,4337.10,4314.85,4326.34,3252220
XAUUSD,20260102,1700,4326.31,4333.22,4322.48,4322.82,2349710
XAUUSD,20260102,1800,4322.78,4323.43,4309.62,4314.95,2220810
XAUUSD,20260102,1900,4315.32,4326.01,4315.32,4317.85,1822480
XAUUSD,20260102,2000,4317.81,4331.35,4316.93,4331.32,2220480
XAUUSD,20260102,2100,4331.40,4333.16,4326.64,4331.57,1001610
XAUUSD,20260104,2300,4360.88,4375.66,4344.43,4372.35,2530480
XAUUSD,20260105,0000,4372.27,4396.48,4370.02,4394.77,2361510
XAUUSD,20260105,0100,4394.90,4421.19,4390.56,4401.65,4764380
XAUUSD,20260105,0200,4401.69,4409.10,4388.36,4404.98,4092570
XAUUSD,20260105,0300,4404.95,4413.88,4399.48,4399.61,2885470
XAUUSD,20260105,0400,4399.65,4408.06,4397.01,4403.86,1517550
XAUUSD,20260105,0500,4403.84,4414.34,4400.98,4412.19,2167180
XAUUSD,20260105,0600,4412.13,4426.10,4411.02,4420.23,4550810
XAUUSD,20260105,0700,4420.20,4424.69,4416.48,4421.47,2748740
XAUUSD,20260105,0800,4421.47,4433.68,4419.02,4429.89,3143980
XAUUSD,20260105,0900,4429.65,4438.02,4425.80,4434.52,2587480
XAUUSD,20260105,1000,4434.48,4439.68,4430.51,4436.09,1829810
XAUUSD,20260105,1100,4436.11,4437.31,4410.28,4419.03,2872130
